number,region,comps_attended,sigs_attended,worlds_qual,trueskill,trueskill_ranking,opr,dpr,ccwm,ap_per_match,awp_per_match,wp_per_match,drive_score,auto_score
5156E,Maine,6,0,True,21.4,2059.0,11.3,5.0,6.3,2.8,0.0,1.3,35.0,17.0
5156F,Maine,5,0,False,18.9,4403.0,5.7,7.0,-1.3,2.2,0.03,0.9,21.0,3.0
5156G,Maine,5,0,False,19.4,3876.0,9.8,6.7,3.1,3.1,0.0,0.9,28.0,4.0
5156H,Maine,6,0,False,17.3,6161.0,1.8,4.3,-2.5,2.0,0.0,0.8,20.0,0.0
93303Y,Maine,4,0,False,19.7,3601.0,6.7,6.4,0.3,3.4,0.03,1.1,24.0,8.0
128B,Ontario,2,0,False,19.7,3601.0,14.8,6.1,8.7,4.3,0.43,1.9,35.0,8.0
142A,Ontario,2,0,False,14.8,8669.0,14.7,13.3,1.3,1.9,0.07,1.1,29.0,4.0
252H,Ontario,8,3,False,23.3,854.0,16.8,12.5,4.3,3.3,0.18,1.5,50.0,38.0
296A,Ontario,3,0,False,17.8,5588.0,10.8,12.3,-1.5,4.2,0.1,1.0,28.0,16.0
416D,Ontario,5,0,False,20.8,2544.0,11.2,10.7,0.5,2.3,0.1,1.1,33.0,3.0
540W,Ontario,5,0,False,21.0,2371.0,15.5,12.7,2.8,4.0,0.25,1.5,42.0,20.0
540X,Ontario,5,0,False,17.2,6264.0,6.9,14.9,-8.0,1.9,0.06,0.8,30.0,2.0
540Z,Ontario,5,0,False,16.7,6828.0,5.1,15.6,-10.4,1.9,0.09,0.6,29.0,10.0
839A,Ontario,12,6,False,22.9,1042.0,14.9,13.0,1.9,3.4,0.26,1.5,48.0,42.0
839T,Ontario,6,0,False,19.7,3601.0,9.3,15.2,-5.9,1.7,0.05,0.6,47.0,10.0
839Z,Ontario,9,2,True,25.1,262.0,16.2,12.1,4.1,3.3,0.28,1.6,47.0,16.0
1104S,Ontario,8,1,True,23.0,986.0,16.8,12.0,4.8,3.2,0.2,1.5,53.0,39.0
1104V,Ontario,8,1,True,23.8,654.0,14.7,12.2,2.5,2.9,0.3,1.5,46.0,42.0
1140X,Ontario,8,1,True,22.2,1468.0,13.6,11.0,2.7,2.9,0.14,1.3,48.0,21.0
1165A,Ontario,9,3,True,24.4,446.0,12.4,10.8,1.6,2.9,0.07,1.4,44.0,40.0
1509B,Ontario,8,0,False,21.1,2288.0,12.7,8.5,4.2,3.2,0.15,1.3,43.0,28.0
1509R,Ontario,8,0,False,19.6,3703.0,9.3,8.2,1.1,2.8,0.15,1.1,26.0,18.0
1509Z,Ontario,8,0,False,19.5,3781.0,8.9,11.2,-2.4,2.8,0.11,1.0,44.0,14.0
2055A,Ontario,10,4,False,20.9,2458.0,14.8,13.5,1.3,2.9,0.2,1.3,47.0,41.0
2670A,Ontario,8,1,False,19.1,4178.0,8.4,11.5,-3.1,2.8,0.2,1.2,27.0,24.0
2796V,Ontario,9,4,True,24.3,477.0,17.5,13.9,3.6,2.6,0.25,1.5,51.0,35.0
3004A,Ontario,11,4,False,22.7,1176.0,13.7,8.8,4.9,3.0,0.11,1.4,54.0,45.0
3150A,Ontario,9,2,True,24.5,413.0,18.8,12.9,5.9,3.7,0.41,1.8,59.0,54.0
3150B,Ontario,10,4,False,23.7,695.0,15.8,11.4,4.4,3.0,0.23,1.6,49.0,45.0
3150C,Ontario,7,2,False,20.8,2544.0,14.1,13.7,0.4,2.9,0.23,1.2,47.0,36.0
3150X,Ontario,10,1,False,23.1,942.0,17.0,9.5,7.5,3.3,0.17,1.4,51.0,39.0
3505E,Ontario,6,0,False,21.2,2203.0,13.8,11.6,2.2,3.7,0.38,1.4,51.0,48.0
3565X,Ontario,13,3,True,23.9,611.0,19.8,10.0,9.8,4.3,0.58,2.1,59.0,57.0
3652A,Ontario,3,0,False,17.6,5826.0,10.6,16.2,-5.6,3.3,0.25,1.4,35.0,23.0
3899E,Ontario,8,3,False,20.2,3106.0,11.3,16.9,-5.6,2.0,0.04,0.8,49.0,0.0
4659A,Ontario,4,0,False,19.6,3703.0,16.2,10.8,5.3,3.5,0.28,1.7,38.0,22.0
4862A,Ontario,3,0,False,16.5,7030.0,11.0,6.6,4.5,2.7,0.05,1.1,35.0,0.0
5225A,Ontario,3,0,True,21.8,1761.0,22.2,9.8,12.4,5.2,0.81,2.6,56.0,50.0
5298C,Ontario,5,0,False,19.0,4293.0,5.0,11.6,-6.6,3.3,0.03,0.8,36.0,20.0
7614A,Ontario,6,0,False,22.2,1468.0,15.1,10.0,5.2,3.4,0.21,1.5,37.0,17.0
8433W,Ontario,6,0,True,24.0,566.0,21.0,7.4,13.6,4.2,0.31,1.8,53.0,42.0
8433X,Ontario,4,0,False,19.0,4293.0,11.7,13.6,-1.9,2.3,0.04,1.1,40.0,0.0
8829C,Ontario,6,3,False,24.9,312.0,17.0,10.9,6.2,3.7,0.16,1.5,52.0,47.0
9599A,Ontario,5,0,True,21.8,1761.0,16.6,8.6,8.1,3.9,0.23,1.8,48.0,27.0
9651X,Ontario,6,1,False,23.0,986.0,13.6,9.8,3.7,3.2,0.31,1.6,42.0,35.0
9651Y,Ontario,5,0,False,18.3,5032.0,8.2,15.7,-7.5,1.5,0.1,0.8,42.0,11.0
10501D,Ontario,10,3,False,22.0,1618.0,16.4,12.5,4.0,2.8,0.14,1.2,54.0,33.0
10801Z,Ontario,3,0,False,18.3,5032.0,10.3,10.1,0.2,3.0,0.2,1.5,30.0,38.0
10909A,Ontario,7,2,False,19.2,4071.0,10.7,13.6,-2.9,3.4,0.24,1.2,46.0,28.0
11702A,Ontario,6,0,False,18.3,5032.0,10.5,13.1,-2.6,2.2,0.08,1.0,33.0,15.0
16610A,Ontario,10,3,True,25.4,205.0,19.1,10.2,9.0,3.8,0.35,1.9,59.0,48.0
16610C,Ontario,10,2,False,22.4,1363.0,11.1,9.3,1.8,2.8,0.13,1.4,44.0,35.0
16610D,Ontario,9,2,False,21.8,1761.0,14.5,10.7,3.8,3.2,0.08,1.3,50.0,33.0
16610X,Ontario,4,0,False,18.1,5246.0,12.5,8.6,4.0,3.8,0.12,1.1,40.0,13.0
